epoch,train_loss,train_acc,val_loss,val_acc,
0,2.0001,0.2421,1.5464,0.4140,
1,1.4073,0.4846,1.2016,0.5622,
2,1.0824,0.6173,1.0870,0.6272,
3,0.8884,0.6895,0.8648,0.7014,
4,0.7573,0.7364,0.7356,0.7469,
5,0.6540,0.7699,0.6834,0.7667,
6,0.5697,0.8012,0.7306,0.7529,
7,0.5037,0.8258,0.6697,0.7796,
8,0.4437,0.8460,0.6260,0.7858,
9,0.3933,0.8624,0.6471,0.7811,
10,0.3475,0.8786,0.6740,0.7876,
11,0.3137,0.8914,0.7013,0.7892,
12,0.2827,0.9020,0.6763,0.7943,
13,0.2572,0.9104,0.6647,0.7955,
14,0.2330,0.9202,0.6968,0.8008,
15,0.2095,0.9282,0.6349,0.8211,
16,0.1959,0.9315,0.6690,0.8075,
17,0.1766,0.9402,0.6808,0.8079,
18,0.1675,0.9443,0.6658,0.8112,
19,0.1564,0.9459,0.6799,0.8117,
20,0.1383,0.9535,0.6863,0.8183,
21,0.1303,0.9562,0.7238,0.8076,
22,0.1292,0.9559,0.6965,0.8149,
23,0.1270,0.9585,0.7404,0.8106,
24,0.1155,0.9609,0.7716,0.8095,
